year,river,numSuitablePatches,numRejuvPatches,numPopPatches,numFertilePop,avgPatchAge,avgPopAge,populated,turned,turned_suitable,turned_unsuitable,sddEvents,lddEvents
15,11,51,10,27,22,28.15686274509804,12.518518518518519,1,3,2,1,0,6
15,12,51,9,28,25,27.0,12.321428571428571,1,4,2,2,1,2
15,13,52,8,24,23,31.365384615384617,16.541666666666668,1,4,4,0,2,7
15,14,60,13,31,26,26.666666666666668,12.451612903225806,1,6,1,5,4,3
15,15,49,13,15,13,30.428571428571427,14.733333333333333,1,6,4,2,1,6
15,16,58,9,33,28,30.67241379310345,16.939393939393938,1,6,4,2,4,10
15,17,50,12,22,18,27.64,12.863636363636363,1,6,3,3,4,10
15,18,48,8,18,15,25.666666666666668,14.777777777777779,1,2,0,2,1,2
15,19,51,6,21,19,30.07843137254902,14.619047619047619,1,6,6,0,0,3
15,20,47,11,20,17,28.382978723404257,13.3,1,7,4,3,2,5
16,1,62,17,36,27,29.532258064516128,11.555555555555555,1,3,0,3,4,8
16,2,59,12,26,23,24.25423728813559,12.23076923076923,1,6,4,2,6,5
16,3,56,7,22,19,31.071428571428573,17.0,1,5,4,1,1,5
16,4,45,8,26,23,29.644444444444446,14.692307692307692,1,3,2,1,1,2
16,5,54,4,24,23,28.055555555555557,14.375,1,10,5,5,2,5
16,6,51,7,14,12,31.96078431372549,17.071428571428573,1,3,1,2,2,3
16,7,54,12,26,22,25.425925925925927,10.807692307692308,1,3,0,3,3,1
16,8,46,7,28,23,19.304347826086957,11.535714285714286,1,4,2,2,3,5
16,9,57,10,23,21,27.36842105263158,18.0,1,4,2,2,3,1
16,10,57,11,22,18,26.31578947368421,15.727272727272727,1,6,5,1,6,7
16,11,52,10,28,23,28.5,12.928571428571429,1,5,3,2,4,4
16,12,51,10,27,25,27.568627450980394,13.11111111111111,1,5,2,3,2,4
16,13,56,10,26,21,30.125,16.153846153846153,1,4,3,1,4,4
16,14,56,13,30,24,27.803571428571427,12.2,1,1,1,0,4,7
16,15,51,14,18,12,29.058823529411764,13.166666666666666,1,6,4,2,2,8
16,16,60,10,33,26,30.316666666666666,17.333333333333332,1,1,0,1,3,7
16,17,50,11,22,15,27.18,12.181818181818182,1,8,5,3,6,3
16,18,46,6,17,15,27.456521739130434,16.41176470588235,1,5,3,2,2,2
16,19,57,11,23,20,27.912280701754387,14.391304347826088,1,6,2,4,0,4
16,20,48,10,21,17,28.666666666666668,13.333333333333334,1,5,2,3,3,1
17,1,59,9,34,26,30.966101694915253,12.205882352941176,1,6,2,4,1,3
17,2,61,14,32,24,22.704918032786885,10.1875,1,4,1,3,5,5
17,3,59,10,23,20,30.050847457627118,17.217391304347824,1,3,2,1,3,4
17,4,46,8,28,25,29.97826086956522,14.714285714285714,1,5,5,0,2,6
17,5,54,8,24,18,27.25925925925926,13.041666666666666,1,9,6,3,1,3
17,6,50,4,15,13,33.2,16.933333333333334,1,4,0,4,1,3
17,7,51,10,26,22,26.235294117647058,10.692307692307692,1,7,5,2,6,6
17,8,46,8,30,26,19.217391304347824,11.566666666666666,1,2,1,1,3,3
17,9,57,10,25,22,28.280701754385966,17.6,1,4,2,2,2,2
17,10,61,13,26,18,25.327868852459016,14.346153846153847,1,7,4,3,4,5
17,11,53,10,29,24,28.30188679245283,12.482758620689655,1,7,1,6,1,1
17,12,50,10,26,22,27.14,11.23076923076923,1,4,3,1,5,4
17,13,58,11,30,21,28.913793103448278,14.933333333333334,1,7,4,3,7,9
17,14,57,9,33,26,28.31578947368421,12.0,1,4,3,1,3,6
